Campaign,Ad Group,Keyword,Match Type,Final URL,Notes
OC | Fire Features — Core,Fire Bowls (Generic),square fire bowls,Phrase,https://fire-bowls.vercel.app/,County-level location targeting; city not in keyword
OC | Fire Features — Core,Fire Bowls (Generic),square fire bowls,Exact,https://fire-bowls.vercel.app/,
OC | Fire Features — Core,Outdoor Fire Features,outdoor fire features,Phrase,https://fire-bowls.vercel.app/,County-level location targeting; city not in keyword
OC | Fire Features — Core,Outdoor Fire Features,outdoor fire features,Exact,https://fire-bowls.vercel.app/,
OC | Fire Features — Core,Outdoor Fire Features,decorative fire features,Phrase,https://fire-bowls.vercel.app/,County-level location targeting; city not in keyword
OC | Fire Features — Core,Outdoor Fire Features,decorative fire features,Exact,https://fire-bowls.vercel.app/,
OC | Fire Features — Core,Outdoor Fire Features,gas fire features,Phrase,https://fire-bowls.vercel.app/,County-level location targeting; city not in keyword
OC | Fire Features — Core,Outdoor Fire Features,gas fire features,Exact,https://fire-bowls.vercel.app/,
OC | Fire Features — Core,Outdoor Fire Features,backyard fire features,Phrase,https://fire-bowls.vercel.app/,County-level location targeting; city not in keyword
OC | Fire Features — Core,Outdoor Fire Features,backyard fire features,Exact,https://fire-bowls.vercel.app/,
OC | Fire Features — Core,Outdoor Fire Features,fire features for backyard,Phrase,https://fire-bowls.vercel.app/,County-level location targeting; city not in keyword
OC | Fire Features — Core,Outdoor Fire Features,fire features for backyard,Exact,https://fire-bowls.vercel.app/,
OC | Fire Features — Core,Outdoor Fire Features,outdoor fire feature systems,Phrase,https://fire-bowls.vercel.app/,County-level location targeting; city not in keyword
OC | Fire Features — Core,Outdoor Fire Features,outdoor fire feature systems,Exact,https://fire-bowls.vercel.app/,
OC | Fire Features — Core,Outdoor Fire Features,fire bowl systems,Phrase,https://fire-bowls.vercel.app/,County-level location targeting; city not in keyword
OC | Fire Features — Core,Outdoor Fire Features,fire bowl systems,Exact,https://fire-bowls.vercel.app/,
OC | Fire Features — Core,Fire Pits & Fire Tables,fire pits,Phrase,https://fire-bowls.vercel.app/,County-level location targeting; city not in keyword
OC | Fire Features — Core,Fire Pits & Fire Tables,fire pits,Exact,https://fire-bowls.vercel.app/,
OC | Fire Features — Core,Fire Pits & Fire Tables,gas fire pits,Phrase,https://fire-bowls.vercel.app/,County-level location targeting; city not in keyword
OC | Fire Features — Core,Fire Pits & Fire Tables,gas fire pits,Exact,https://fire-bowls.vercel.app/,
OC | Fire Features — Core,Fire Pits & Fire Tables,fire tables,Phrase,https://fire-bowls.vercel.app/,County-level location targeting; city not in keyword
OC | Fire Features — Core,Fire Pits & Fire Tables,fire tables,Exact,https://fire-bowls.vercel.app/,
OC | Fire Features — Core,Fire Pits & Fire Tables,outdoor fire tables,Phrase,https://fire-bowls.vercel.app/,County-level location targeting; city not in keyword
OC | Fire Features — Core,Fire Pits & Fire Tables,outdoor fire tables,Exact,https://fire-bowls.vercel.app/,
OC | Fire Features — Core,Fire Pits & Fire Tables,fire pit table,Phrase,https://fire-bowls.vercel.app/,County-level location targeting; city not in keyword
OC | Fire Features — Core,Fire Pits & Fire Tables,fire pit table,Exact,https://fire-bowls.vercel.app/,
OC | Fire Features — Core,Fire Pits & Fire Tables,modern fire pit,Phrase,https://fire-bowls.vercel.app/,County-level location targeting; city not in keyword
OC | Fire Features — Core,Fire Pits & Fire Tables,modern fire pit,Exact,https://fire-bowls.vercel.app/,
OC | Fire Features — Core,Water Features & Scuppers,pool scuppers,Phrase,https://fire-bowls.vercel.app/,County-level location targeting; city not in keyword
OC | Fire Features — Core,Water Features & Scuppers,pool scuppers,Exact,https://fire-bowls.vercel.app/,
OC | Fire Features — Core,Water Features & Scuppers,pool water features,Phrase,https://fire-bowls.vercel.app/,County-level location targeting; city not in keyword
OC | Fire Features — Core,Water Features & Scuppers,pool water features,Exact,https://fire-bowls.vercel.app/,
OC | Fire Features — Core,Water Features & Scuppers,scupper bowls,Phrase,https://fire-bowls.vercel.app/,County-level location targeting; city not in keyword
OC | Fire Features — Core,Water Features & Scuppers,scupper bowls,Exact,https://fire-bowls.vercel.app/,
OC | Fire Features — Core,Water Features & Scuppers,water bowls for pool,Phrase,https://fire-bowls.vercel.app/,County-level location targeting; city not in keyword
OC | Fire Features — Core,Water Features & Scuppers,water bowls for pool,Exact,https://fire-bowls.vercel.app/,
OC | Fire Features — Core,Water Features & Scuppers,spillway bowls,Phrase,https://fire-bowls.vercel.app/,County-level location targeting; city not in keyword
OC | Fire Features — Core,Water Features & Scuppers,spillway bowls,Exact,https://fire-bowls.vercel.app/,
OC | Fire Features — Core,Water Features & Scuppers,sheer descent water feature,Phrase,https://fire-bowls.vercel.app/,County-level location targeting; city not in keyword
OC | Fire Features — Core,Water Features & Scuppers,sheer descent water feature,Exact,https://fire-bowls.vercel.app/,
OC | Fire Features — Core,Buy Intent,buy pool fire bowls,Phrase,https://fire-bowls.vercel.app/,High commercial intent
OC | Fire Features — Core,Buy Intent,pool fire bowls for sale,Phrase,https://fire-bowls.vercel.app/,High commercial intent
OC | Fire Features — Core,Buy Intent,shop pool fire bowls,Phrase,https://fire-bowls.vercel.app/,High commercial intent
OC | Fire Features — Core,Buy Intent,pool fire bowls price,Phrase,https://fire-bowls.vercel.app/,High commercial intent
OC | Fire Features — Core,Buy Intent,pool fire bowls cost,Phrase,https://fire-bowls.vercel.app/,High commercial intent
OC | Fire Features — Core,Buy Intent,best pool fire bowls,Phrase,https://fire-bowls.vercel.app/,High commercial intent
OC | Fire Features — Core,Buy Intent,buy fire and water bowls,Phrase,https://fire-bowls.vercel.app/,High commercial intent
OC | Fire Features — Core,Buy Intent,fire and water bowls for sale,Phrase,https://fire-bowls.vercel.app/,High commercial intent
OC | Fire Features — Core,Buy Intent,shop fire and water bowls,Phrase,https://fire-bowls.vercel.app/,High commercial intent
OC | Fire Features — Core,Buy Intent,fire and water bowls price,Phrase,https://fire-bowls.vercel.app/,High commercial intent
OC | Fire Features — Core,Buy Intent,fire and water bowls cost,Phrase,https://fire-bowls.vercel.app/,High commercial intent
OC | Fire Features — Core,Buy Intent,best fire and water bowls,Phrase,https://fire-bowls.vercel.app/,High commercial intent
OC | Fire Features — Core,Buy Intent,buy outdoor fire bowls,Phrase,https://fire-bowls.vercel.app/,High commercial intent
OC | Fire Features — Core,Buy Intent,outdoor fire bowls for sale,Phrase,https://fire-bowls.vercel.app/,High commercial intent
OC | Fire Features — Core,Buy Intent,shop outdoor fire bowls,Phrase,https://fire-bowls.vercel.app/,High commercial intent
OC | Fire Features — Core,Buy Intent,outdoor fire bowls price,Phrase,https://fire-bowls.vercel.app/,High commercial intent
OC | Fire Features — Core,Buy Intent,outdoor fire bowls cost,Phrase,https://fire-bowls.vercel.app/,High commercial intent
OC | Fire Features — Core,Buy Intent,best outdoor fire bowls,Phrase,https://fire-bowls.vercel.app/,High commercial intent
OC | Fire Features — Geo,Huntington Beach,pool fire bowls Huntington Beach,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Huntington Beach,fire bowls Huntington Beach,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Huntington Beach,fire and water bowls Huntington Beach,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Huntington Beach,outdoor fire features Huntington Beach,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Huntington Beach,fire pits Huntington Beach ca,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Newport Beach,pool fire bowls Newport Beach,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Newport Beach,fire bowls Newport Beach,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Newport Beach,fire and water bowls Newport Beach,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Newport Beach,outdoor fire features Newport Beach,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Newport Beach,fire pits Newport Beach ca,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Newport Coast,pool fire bowls Newport Coast,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Newport Coast,fire bowls Newport Coast,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Newport Coast,fire and water bowls Newport Coast,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Newport Coast,outdoor fire features Newport Coast,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Newport Coast,fire pits Newport Coast ca,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Corona del Mar,pool fire bowls Corona del Mar,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Corona del Mar,fire bowls Corona del Mar,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Corona del Mar,fire and water bowls Corona del Mar,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Corona del Mar,outdoor fire features Corona del Mar,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Corona del Mar,fire pits Corona del Mar ca,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Costa Mesa,pool fire bowls Costa Mesa,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Costa Mesa,fire bowls Costa Mesa,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Costa Mesa,fire and water bowls Costa Mesa,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Costa Mesa,outdoor fire features Costa Mesa,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Costa Mesa,fire pits Costa Mesa ca,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Laguna Beach,pool fire bowls Laguna Beach,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Laguna Beach,fire bowls Laguna Beach,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Laguna Beach,fire and water bowls Laguna Beach,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Laguna Beach,outdoor fire features Laguna Beach,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Laguna Beach,fire pits Laguna Beach ca,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Laguna Niguel,pool fire bowls Laguna Niguel,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Laguna Niguel,fire bowls Laguna Niguel,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Laguna Niguel,fire and water bowls Laguna Niguel,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Laguna Niguel,outdoor fire features Laguna Niguel,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Laguna Niguel,fire pits Laguna Niguel ca,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Dana Point,pool fire bowls Dana Point,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Dana Point,fire bowls Dana Point,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Dana Point,fire and water bowls Dana Point,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Dana Point,outdoor fire features Dana Point,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Dana Point,fire pits Dana Point ca,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,San Juan Capistrano,pool fire bowls San Juan Capistrano,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,San Juan Capistrano,fire bowls San Juan Capistrano,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,San Juan Capistrano,fire and water bowls San Juan Capistrano,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,San Juan Capistrano,outdoor fire features San Juan Capistrano,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,San Juan Capistrano,fire pits San Juan Capistrano ca,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,San Clemente,pool fire bowls San Clemente,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,San Clemente,fire bowls San Clemente,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,San Clemente,fire and water bowls San Clemente,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,San Clemente,outdoor fire features San Clemente,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,San Clemente,fire pits San Clemente ca,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Mission Viejo,pool fire bowls Mission Viejo,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Mission Viejo,fire bowls Mission Viejo,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Mission Viejo,fire and water bowls Mission Viejo,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Mission Viejo,outdoor fire features Mission Viejo,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Mission Viejo,fire pits Mission Viejo ca,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Lake Forest,pool fire bowls Lake Forest,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Lake Forest,fire bowls Lake Forest,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Lake Forest,fire and water bowls Lake Forest,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Lake Forest,outdoor fire features Lake Forest,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Lake Forest,fire pits Lake Forest ca,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Rancho Santa Margarita,pool fire bowls Rancho Santa Margarita,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Rancho Santa Margarita,fire bowls Rancho Santa Margarita,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Rancho Santa Margarita,fire and water bowls Rancho Santa Margarita,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Rancho Santa Margarita,outdoor fire features Rancho Santa Margarita,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Rancho Santa Margarita,fire pits Rancho Santa Margarita ca,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Coto de Caza,pool fire bowls Coto de Caza,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Coto de Caza,fire bowls Coto de Caza,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Coto de Caza,fire and water bowls Coto de Caza,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Coto de Caza,outdoor fire features Coto de Caza,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Coto de Caza,fire pits Coto de Caza ca,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Ladera Ranch,pool fire bowls Ladera Ranch,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Ladera Ranch,fire bowls Ladera Ranch,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Ladera Ranch,fire and water bowls Ladera Ranch,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Ladera Ranch,outdoor fire features Ladera Ranch,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Ladera Ranch,fire pits Ladera Ranch ca,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Rancho Mission Viejo,pool fire bowls Rancho Mission Viejo,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Rancho Mission Viejo,fire bowls Rancho Mission Viejo,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Rancho Mission Viejo,fire and water bowls Rancho Mission Viejo,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Rancho Mission Viejo,outdoor fire features Rancho Mission Viejo,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Rancho Mission Viejo,fire pits Rancho Mission Viejo ca,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Irvine,pool fire bowls Irvine,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Irvine,fire bowls Irvine,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Irvine,fire and water bowls Irvine,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Irvine,outdoor fire features Irvine,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Irvine,fire pits Irvine ca,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,North Tustin,pool fire bowls North Tustin,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,North Tustin,fire bowls North Tustin,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,North Tustin,fire and water bowls North Tustin,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,North Tustin,outdoor fire features North Tustin,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,North Tustin,fire pits North Tustin ca,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Yorba Linda,pool fire bowls Yorba Linda,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Yorba Linda,fire bowls Yorba Linda,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Yorba Linda,fire and water bowls Yorba Linda,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Yorba Linda,outdoor fire features Yorba Linda,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Yorba Linda,fire pits Yorba Linda ca,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Villa Park,pool fire bowls Villa Park,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Villa Park,fire bowls Villa Park,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Villa Park,fire and water bowls Villa Park,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Villa Park,outdoor fire features Villa Park,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,Villa Park,fire pits Villa Park ca,Phrase,https://fire-bowls.vercel.app/,"Low volume, high intent — expect thin data per city"
OC | Fire Features — Geo,County / Region,pool fire bowls Orange County,Phrase,https://fire-bowls.vercel.app/,Catch-all for county-level phrasing
